notif_no,substance_detected
NOT161100375K,Nan
NOT221100347K,Nan
NOT221100359K,Nan
NOT221100384K,Nan
NOT221100398K,Nan
NOT221100399K,Nan
NOT221100400K,Nan
NOT221100318K,Nan
NOT221100305K,Nan
NOT201100144K,Nan
NOT221100520K,Nan
NOT221100417K,Nan
NOT221100416K,Nan
NOT221100442K,Nan
NOT221100506K,Nan
NOT221100467K,Nan
NOT221100260K,Nan
NOT221100458K,Nan
NOT221100317K,Nan
NOT221100258K,Nan
NOT221100270K,Nan
NOT201100140K,Nan
NOT221100301K,Nan
NOT221100294K,Nan
NOT221100256K,Nan
NOT221100297K,Nan
NOT221100402K,Nan
NOT221100323K,Nan
NOT221100425K,Nan
NOT221100262K,Nan
NOT221100237K,Nan
NOT221100499K,Nan
NOT221100550K,Nan
NOT221100462K,Nan
NOT221100247K,Nan
NOT221100487K,Nan
NOT221100246K,Nan
NOT221100495K,Nan
NOT221100504K,Nan
NOT221100484K,Nan
NOT221100528K,Nan
NOT221100493K,Nan
NOT221100396K,Nan
NOT221100464K,Nan
NOT221100362K,Nan
NOT221100548K,Nan
NOT221100248K,Nan
NOT221100491K,Nan
NOT221100251K,Nan
NOT221100521K,Nan
NOT161100419K,Nan
NOT221100546K,Nan
NOT221100268K,Nan
NOT221100544K,Nan
NOT221100543K,Nan
NOT221100542K,Nan
NOT221100238K,Nan
NOT221100525K,Nan
NOT221100522K,Nan
NOT221100516K,Nan
NOT221100388K,Nan
NOT221100358K,Nan
NOT161100424K,Nan
NOT221100531K,Nan
NOT221100340K,Nan
NOT221100427K,Nan
NOT221100344K,Nan
NOT221100514K,Nan
NOT221100250K,Nan
NOT221100534K,Nan
NOT161100377K,Nan
NOT221100428K,Nan
NOT221100338K,Nan
NOT161100378K,Nan
NOT221100509K,Nan
NOT221100336K,Nan
NOT221100429K,Nan
NOT221100533K,Nan
NOT221100477K,Nan
NOT221100530K,Nan
NOT201100416K,Nan
NOT221100370K,Nan
NOT221100532K,Nan
NOT221100249K,Nan
NOT201100368K,Nan
NOT221100431K,Nan
NOT221100488K,Nan
NOT221100363K,Nan
NOT221100434K,Nan
NOT221100369K,Nan
NOT221100346K,Nan
NOT221100271K,Nan
NOT221100406K,Nan
NOT221100405K,Nan
NOT221100529K,Nan
NOT221100483K,Nan
NOT221100331K,Nan
NOT221100368K,Nan
NOT221100489K,Nan
NOT221100413K,Nan
NOT161100564K,Nan
NOT221100404K,Nan
NOT201100154K,Nan
NOT221100482K,Nan
NOT221100473K,Nan
NOT221100364K,Nan
NOT221100540K,Nan
NOT201100227K,Nan
NOT221100373K,Nan
NOT221100267K,Nan
NOT221100374K,Nan
NOT221100327K,Nan
NOT221100471K,Nan
NOT221100500K,Nan
NOT201100317K,Nan
NOT221100465K,Nan
NOT221100357K,Nan
NOT221100354K,Nan
NOT221100469K,Nan
NOT201100316K,Nan
NOT221100324K,Nan
NOT161100586K,Nan
NOT201100318K,Nan
NOT221100511K,Nan
NOT221100372K,Nan
NOT221100361K,Nan
NOT221100475K,Nan
NOT221100535K,Nan
NOT161100701K,Nan
NOT221100537K,Nan
NOT221100365K,Nan
NOT221100523K,Nan
NOT161100736K,Nan
NOT221100490K,Nan
NOT221100460K,Nan
NOT221100319K,Nan
NOT221100266K,Nan
NOT221100524K,Nan
NOT221100526K,Nan
NOT221100527K,Nan
NOT221100261K,Nan
NOT221100313K,Nan
NOT221100541K,Nan
NOT161100557K,Nan
NOT221100747K,Nan
NOT221100703K,Nan
NOT221100701K,Nan
NOT221100693K,Nan
NOT221100692K,Nan
NOT221100699K,Nan
NOT221100748K,Nan
NOT221100746K,Nan
NOT221100697K,Nan
NOT221100595K,Nan
NOT221100745K,Nan
NOT221100749K,Nan
NOT221100596K,Nan
NOT221100593K,Nan
NOT221100678K,Nan
NOT221100591K,Nan
NOT221100744K,Nan
NOT221100654K,Nan
NOT221100688K,Nan
NOT221100597K,Nan
NOT201100549K,Nan
NOT221100680K,Nan
NOT221100689K,Nan
NOT221100690K,Nan
NOT201100585K,Nan
NOT221100679K,Nan
NOT201100586K,Nan
NOT221100695K,Nan
NOT221100691K,Nan
NOT201100436K,Nan
NOT221100574K,Nan
NOT221100567K,Nan
NOT221100587K,Nan
NOT221100738K,Nan
NOT201100512K,Nan
NOT221100736K,Nan
NOT221100734K,Nan
NOT201100432K,Nan
NOT201100504K,Nan
NOT221100732K,Nan
NOT221100731K,Nan
NOT201100459K,Nan
NOT201100449K,Nan
NOT221100725K,Nan
NOT201100501K,Nan
NOT201100447K,Nan
NOT201100452K,Nan
NOT221100730K,Nan
NOT201100429K,Nan
NOT201100431K,Nan
NOT221100729K,Nan
NOT221100728K,Nan
NOT221100561K,Nan
NOT201100497K,Nan
NOT201100503K,Nan
NOT221100742K,Nan
NOT201100490K,Nan
NOT201100491K,Nan
NOT201100519K,Nan
NOT221100686K,Nan
NOT221100721K,Nan
NOT201100520K,Nan
NOT221100724K,Nan
NOT221100556K,Nan
NOT221100682K,Nan
NOT221100727K,Nan
NOT221100726K,Nan
NOT221100557K,Nan
NOT201100492K,Nan
NOT201100514K,Nan
NOT221100659K,Nan
NOT221100740K,Nan
NOT201100469K,Nan
NOT221100614K,Nan
NOT221100741K,Nan
NOT201100502K,Nan
NOT201100488K,Nan
NOT221100589K,Nan
NOT221100720K,Nan
NOT201100515K,Nan
NOT221100552K,Nan
NOT221100551K,Nan
NOT221100564K,Nan
NOT201100584K,Nan
NOT201100578K,Nan
NOT221100566K,Nan
NOT221100751K,Nan
NOT221100568K,Nan
NOT201100579K,Nan
NOT221100570K,Nan
NOT221100743K,Nan
NOT221100572K,Nan
NOT221100647K,Nan
NOT221100645K,Nan
NOT221100611K,Nan
NOT221100573K,Nan
NOT221100628K,Nan
NOT221100569K,Nan
NOT221100559K,Nan
NOT221100563K,Nan
NOT201100583K,Nan
NOT201100582K,Nan
NOT201100581K,Nan
NOT201100434K,Nan
NOT201100556K,Nan
NOT201100587K,Nan
NOT201100574K,Nan
NOT201100552K,Nan
NOT201100557K,Nan
NOT201100555K,Nan
NOT201100529K,Nan
NOT161100965K,Nan
NOT201100518K,Nan
NOT201100548K,Nan
NOT221100560K,Nan
NOT221100683K,Nan
NOT201100435K,Nan
NOT201100576K,Nan
NOT221100719K,Nan
NOT221100562K,Nan
NOT201100577K,Nan
NOT221100553K,Nan
NOT201100580K,Nan
NOT201100550K,Nan
NOT221100656K,Nan
NOT201100513K,Nan
NOT221100629K,Nan
NOT221100554K,Nan
NOT221100643K,Nan
NOT161100966K,Nan
NOT161100956K,Nan
NOT161100928K,Nan
NOT221100623K,Nan
NOT161100775K,Nan
NOT161100834K,Nan
NOT221100626K,Nan
NOT221100672K,Nan
NOT221100582K,Nan
NOT161100771K,Nan
NOT201100464K,Nan
NOT161100957K,Nan
NOT161100923K,Nan
NOT201100465K,Nan
NOT221100662K,Nan
NOT221100624K,Nan
NOT221100581K,Nan
NOT161100770K,Nan
NOT221100580K,Nan
NOT161100967K,Nan
NOT161100959K,Nan
NOT221100685K,Nan
NOT221100558K,Nan
NOT221100565K,Nan
NOT161100843K,Nan
NOT221100722K,Nan
NOT221100578K,Nan
NOT221100633K,Nan
NOT221100627K,Nan
NOT221100658K,Nan
NOT221100625K,Nan
NOT161100968K,Nan
NOT161100791K,Nan
NOT201100511K,Nan
NOT221100619K,Nan
NOT161100969K,Nan
NOT161100788K,Nan
NOT221100617K,Nan
NOT161100970K,Nan
NOT161100810K,Nan
NOT161100833K,Nan
NOT161100792K,Nan
NOT221100616K,Nan
NOT161100972K,Nan
NOT161100813K,Nan
NOT221100634K,Nan
NOT201100439K,Nan
NOT221100610K,Nan
NOT161100973K,Nan
NOT221100555K,Nan
NOT161100814K,Nan
NOT161100974K,Nan
NOT161100955K,Nan
NOT161100816K,Nan
NOT161100971K,Nan
NOT161100772K,Nan
NOT161100958K,Nan
NOT221100601K,Nan
NOT221100640K,Nan
NOT161100964K,Nan
NOT221100600K,Nan
NOT201100493K,Nan
NOT201100494K,Nan
NOT221100639K,Nan
NOT221100599K,Nan
NOT161100963K,Nan
NOT161100962K,Nan
NOT161100769K,Nan
NOT221100598K,Nan
NOT221100652K,Nan
NOT221100681K,Nan
NOT221100583K,Nan
NOT221100571K,Nan
NOT201100479K,Nan
NOT221100585K,Nan
NOT221100638K,Nan
NOT221100621K,Nan
NOT221100644K,Nan
NOT221100650K,Nan
NOT221100636K,Nan
NOT221100603K,Nan
NOT221100605K,Nan
NOT221100664K,Nan
NOT221100637K,Nan
NOT201100437K,Nan
NOT221100635K,Nan
NOT221100666K,Nan
NOT221100576K,Nan
NOT221100655K,Nan
NOT221100674K,Nan
NOT221100668K,Nan
NOT221100670K,Nan
NOT221100676K,Nan
NOT221100657K,Nan
NOT221100723K,Nan
NOT221100651K,Nan
NOT221100622K,Nan
NOT221100752K,Nan
NOT221100575K,Nan
NOT161100960K,Nan
NOT221100641K,Nan
NOT221100609K,Nan
NOT221100607K,Nan
NOT221100684K,Nan
NOT161100961K,Nan
NOT221100822K,Nan
NOT201100843K,Nan
NOT201100842K,Nan
NOT161101295K,Nan
NOT221100973K,Nan
NOT221100821K,Nan
NOT201100899K,Nan
NOT221100959K,Nan
NOT221100915K,Nan
NOT201100896K,Nan
NOT221100914K,Nan
NOT221100913K,Nan
NOT201100731K,Nan
NOT221100789K,Nan
NOT221100948K,Nan
NOT221100943K,Nan
NOT221100958K,Nan
NOT221100956K,Nan
NOT221100955K,Nan
NOT221100790K,Nan
NOT221100960K,Nan
NOT221100837K,Nan
NOT221100779K,Nan
NOT161101296K,Nan
NOT201100844K,Nan
NOT221100811K,Nan
NOT201100922K,Nan
NOT161101233K,Nan
NOT221100950K,Nan
NOT221100899K,Nan
NOT201100662K,Nan
NOT221100813K,Nan
NOT161101232K,Nan
NOT221100968K,Nan
NOT221100803K,Nan
NOT201100667K,Nan
NOT221100855K,Nan
NOT201100729K,Nan
NOT201100918K,Nan
NOT221100801K,Nan
NOT221100783K,Nan
NOT161101231K,Nan
NOT161101230K,Nan
NOT201100730K,Nan
NOT161101087K,Nan
NOT221100909K,Nan
NOT161101086K,Nan
NOT161101085K,Nan
NOT221100782K,Nan
NOT221100971K,Nan
NOT221100944K,Nan
NOT201100660K,Nan
NOT221100842K,Nan
NOT221100788K,Nan
NOT221100954K,Nan
NOT201100923K,Nan
NOT201100924K,Nan
NOT221100907K,Nan
NOT221100911K,Nan
NOT221100895K,Nan
NOT221100964K,Nan
NOT221100932K,Nan
NOT221100807K,Nan
NOT221100771K,Nan
NOT221100972K,Nan
NOT221100765K,Nan
NOT221100852K,Nan
NOT201100663K,Nan
NOT221100809K,Nan
NOT221100896K,Nan
NOT221100906K,Nan
NOT221100921K,Nan
NOT221100853K,Nan
NOT221100820K,Nan
NOT221100908K,Nan
NOT221100900K,Nan
NOT221100970K,Nan
NOT161101234K,Nan
NOT221100883K,Nan
NOT221100965K,Nan
NOT221100898K,Nan
NOT221100974K,Nan
NOT201100884K,Nan
NOT221100888K,Nan
NOT221100818K,Nan
NOT221100887K,Nan
NOT221100817K,Nan
NOT201100881K,Nan
NOT201100882K,Nan
NOT221100886K,Nan
NOT221100967K,Nan
NOT201100883K,Nan
NOT201100647K,Nan
NOT201100744K,Nan
NOT161101310K,Nan
NOT221100903K,Nan
NOT161101309K,Nan
NOT221100966K,Nan
NOT201100727K,Nan
NOT221100885K,Nan
NOT161101308K,Nan
NOT161101307K,Nan
NOT161101259K,Nan
NOT201100661K,Nan
NOT221100919K,Nan
NOT221100775K,Nan
NOT221100925K,Nan
NOT221100816K,Nan
NOT201100752K,Nan
NOT201100759K,Nan
NOT221100939K,Nan
NOT221100884K,Nan
NOT221100929K,Nan
NOT161101357K,Nan
NOT221100927K,Nan
NOT201100898K,Nan
NOT221100847K,Nan
NOT161101365K,Nan
NOT201100768K,Nan
NOT221100894K,Nan
NOT201100888K,Nan
NOT201100885K,Nan
NOT201100887K,Nan
NOT201100755K,Nan
NOT201100886K,Nan
NOT221100949K,Nan
NOT221100953K,Nan
NOT221100926K,Nan
NOT201100682K,Nan
NOT221100848K,Nan
NOT221100760K,Nan
NOT221100761K,Nan
NOT201100760K,Nan
NOT221100753K,Nan
NOT221100969K,Nan
NOT221100918K,Nan
NOT221100890K,Nan
NOT201100761K,Nan
NOT201100753K,Nan
NOT201100787K,Nan
NOT221100931K,Nan
NOT221100849K,Nan
NOT221100928K,Nan
NOT201100743K,Nan
NOT161101109K,Nan
NOT221100872K,Nan
NOT201100707K,Nan
NOT161101279K,Nan
NOT201100758K,Nan
NOT201100754K,Nan
NOT201100702K,Nan
NOT221100905K,Nan
NOT201100734K,Nan
NOT221100802K,Nan
NOT201100733K,Nan
NOT221100778K,Nan
NOT221100797K,Nan
NOT221100917K,Nan
NOT201100897K,Nan
NOT161101235K,Nan
NOT201100840K,Nan
NOT201100916K,Nan
NOT221100780K,Nan
NOT201100765K,Nan
NOT201100728K,Nan
NOT201100732K,Nan
NOT201100831K,Nan
NOT221100839K,Nan
NOT221100792K,Nan
NOT221100791K,Nan
NOT221100825K,Nan
NOT221100975K,Nan
NOT221100892K,Nan
NOT221100961K,Nan
NOT221100777K,Nan
NOT161101236K,Nan
NOT161101237K,Nan
NOT221100957K,Nan
NOT221100922K,Nan
NOT221100870K,Nan
NOT221100869K,Nan
NOT221100924K,Nan
NOT221100868K,Nan
NOT221100946K,Nan
NOT221100977K,Nan
NOT161101257K,Nan
NOT161101256K,Nan
NOT161101255K,Nan
NOT161101254K,Nan
NOT161101251K,Nan
NOT201100762K,Nan
NOT221100850K,Nan
NOT201100782K,Nan
NOT221100851K,Nan
NOT201100805K,Nan
NOT221100768K,Nan
NOT221100754K,Nan
NOT221100798K,Nan
NOT221100859K,Nan
NOT221100769K,Nan
NOT221100858K,Nan
NOT221100867K,Nan
NOT221100770K,Nan
NOT221100846K,Nan
NOT201100786K,Nan
NOT201100803K,Nan
NOT161101238K,Nan
NOT221100838K,Nan
NOT201100798K,Nan
NOT221100800K,Nan
NOT221100882K,Nan
NOT221100942K,Nan
NOT201100783K,Nan
NOT201100811K,Nan
NOT201100860K,Nan
NOT201100683K,Nan
NOT201100713K,Nan
NOT201100685K,Nan
NOT201100790K,Nan
NOT201100684K,Nan
NOT221100841K,Nan
NOT201100714K,Nan
NOT221100827K,Nan
NOT221100786K,Nan
NOT201100874K,Nan
NOT201100716K,Nan
NOT201100890K,Nan
NOT201100717K,Nan
NOT221100781K,Nan
NOT221100952K,Nan
NOT201100861K,Nan
NOT221100836K,Nan
NOT221100759K,Nan
NOT201100698K,Nan
NOT221100947K,Nan
NOT221100764K,Nan
NOT201100878K,Nan
NOT221100877K,Nan
NOT221100831K,Nan
NOT201100793K,Nan
NOT221100936K,Nan
NOT201100791K,Nan
NOT201100914K,Nan
NOT201100913K,Nan
NOT221100916K,Nan
NOT221100763K,Nan
NOT201100715K,Nan
NOT221100863K,Nan
NOT221100793K,Nan
NOT221100881K,Nan
NOT221100766K,Nan
NOT201100867K,Nan
NOT221100833K,Nan
NOT201100696K,Nan
NOT221100843K,Nan
NOT221100901K,Nan
NOT201100712K,Nan
NOT221100876K,Nan
NOT221100805K,Nan
NOT201100910K,Nan
NOT201100697K,Nan
NOT201100892K,Nan
NOT221100904K,Nan
NOT221100774K,Nan
NOT221100920K,Nan
NOT201100792K,Nan
NOT201100800K,Nan
NOT201100862K,Nan
NOT221100794K,Nan
NOT201100726K,Nan
NOT221100826K,Nan
NOT201100618K,Nan
NOT221100866K,Nan
NOT201100711K,Nan
NOT201100917K,Nan
NOT201100718K,Nan
NOT201100699K,Nan
NOT201100774K,Nan
NOT201100869K,Nan
NOT221100845K,Nan
NOT221100795K,Nan
NOT201100868K,Nan
NOT221100832K,Nan
NOT221100861K,Nan
NOT221100945K,Nan
NOT221100796K,Nan
NOT221100912K,Nan
NOT201100866K,Nan
NOT201100725K,Nan
NOT201100921K,Nan
NOT221100860K,Nan
NOT221100941K,Nan
NOT221100835K,Nan
NOT201100900K,Nan
NOT221100937K,Nan
NOT201100763K,Nan
NOT221100933K,Nan
NOT221100762K,Nan
NOT221100756K,Nan
NOT221100819K,Nan
NOT221100864K,Nan
NOT221100935K,Nan
NOT221100938K,Nan
NOT221100978K,Nan
NOT221100773K,Nan
NOT201100695K,Nan
NOT221100879K,Nan
NOT201100891K,Nan
NOT221100951K,Nan
NOT221100785K,Nan
NOT201100865K,Nan
NOT201100788K,Nan
NOT221100834K,Nan
NOT221100799K,Nan
NOT221100815K,Nan
NOT221100865K,Nan
NOT221100874K,Nan
NOT221100940K,Nan
NOT221100830K,Nan
NOT221100823K,Nan
NOT221100962K,Nan
NOT201100785K,Nan
NOT221100934K,Nan
NOT221100772K,Nan
NOT221100875K,Nan
NOT201100694K,Nan
NOT221100979K,Nan
NOT221100844K,Nan
NOT201100920K,Nan
NOT221100755K,Nan
NOT201100901K,Nan
NOT201100686K,Nan
NOT201100687K,Nan
NOT221100862K,Nan
NOT221100787K,Nan
NOT221100828K,Nan
NOT221100878K,Nan
NOT221100829K,Nan
NOT221100963K,Nan
NOT221100757K,Nan
NOT221101015K,Nan
NOT201101006K,Nan
NOT221101063K,Nan
NOT181100962K,Nan
NOT181100958K,Nan
NOT221101017K,Nan
NOT181100980K,Nan
NOT181100807K,Nan
NOT221101049K,Nan
NOT181100993K,Nan
NOT221101062K,Nan
NOT201101151K,Nan
NOT181100806K,Nan
NOT181100772K,Nan
NOT201101063K,Nan
NOT201101005K,Nan
NOT221101013K,Nan
NOT201101061K,Nan
NOT181100979K,Nan
NOT221101044K,Nan
NOT221101048K,Nan
NOT221101012K,Nan
NOT221101047K,Nan
NOT221101032K,Nan
NOT221101046K,Nan
NOT201101152K,Nan
NOT221101054K,Nan
NOT221100986K,Nan
NOT221101045K,Nan
NOT221101056K,Nan
NOT181100771K,Nan
NOT181100981K,Nan
NOT201101027K,Nan
NOT201100952K,Nan
NOT221101033K,Nan
NOT201100968K,Nan
NOT201100967K,Nan
NOT201100965K,Nan
NOT201100954K,Nan
NOT221100980K,Nan
NOT201100947K,Nan
NOT181100969K,Nan
NOT181100827K,Nan
NOT181100967K,Nan
NOT181100966K,Nan
NOT181100965K,Nan
NOT181100964K,Nan
NOT201100964K,Nan
NOT201100938K,Nan
NOT201101050K,Nan
NOT221100982K,Nan
NOT201101052K,Nan
NOT221100983K,Nan
NOT181100830K,Nan
NOT201101064K,Nan
NOT181100831K,Nan
NOT181100832K,Nan
NOT181100833K,Nan
NOT201100941K,Nan
NOT201101054K,Nan
NOT181100835K,Nan
NOT201101115K,Nan
NOT201101056K,Nan
NOT201101055K,Nan
NOT201100937K,Nan
NOT201100969K,Nan
NOT201100970K,Nan
NOT221101061K,Nan
NOT221100987K,Nan
NOT221100984K,Nan
NOT181100803K,Nan
NOT181100802K,Nan
NOT221101036K,Nan
NOT221101034K,Nan
NOT221101060K,Nan
NOT201100950K,Nan
NOT201100995K,Nan
NOT201100975K,Nan
NOT201100974K,Nan
NOT201100942K,Nan
NOT221101039K,Nan
NOT201100973K,Nan
NOT201100972K,Nan
NOT221100996K,Nan
NOT201100971K,Nan
NOT201101002K,Nan
NOT221101016K,Nan
NOT221101019K,Nan
NOT221100985K,Nan
NOT201100946K,Nan
NOT201101065K,Nan
NOT221100997K,Nan
NOT221101050K,Nan
NOT201100936K,Nan
NOT201101118K,Nan
NOT201101117K,Nan
NOT201100994K,Nan
NOT221101026K,Nan
NOT221101030K,Nan
NOT221101051K,Nan
NOT221100992K,Nan
NOT201100951K,Nan
NOT181100894K,Nan
NOT221101058K,Nan
NOT201101166K,Nan
NOT201101023K,Nan
NOT221101014K,Nan
NOT201100957K,Nan
NOT221100981K,Nan
NOT221101059K,Nan
NOT221101057K,Nan
NOT221100995K,Nan
NOT201100979K,Nan
NOT221100991K,Nan
NOT221100993K,Nan
NOT221101042K,Nan
NOT221101041K,Nan
NOT201101138K,Nan
NOT221101040K,Nan
NOT221100998K,Nan
NOT201101161K,Nan
NOT201100997K,Nan
NOT221101055K,Nan
NOT141100314K,Nan
NOT141100315K,Nan
NOT201101062K,Nan
NOT201101007K,Nan
NOT201100980K,Nan
NOT221101005K,Nan
NOT221101028K,Nan
NOT141100318K,Nan
NOT201101026K,Nan
NOT221101037K,Nan
NOT201101033K,Nan
NOT201101008K,Nan
NOT221101018K,Nan
NOT201100978K,Nan
NOT201101009K,Nan
NOT201101010K,Nan
NOT201101045K,Nan
NOT221101043K,Nan
NOT201100977K,Nan
NOT201101163K,Nan
NOT201101159K,Nan
NOT221101038K,Nan
NOT221101022K,Nan
NOT201101150K,Nan
NOT221101020K,Nan
NOT201101164K,Nan
NOT201101046K,Nan
NOT181100850K,Nan
NOT221101053K,Nan
NOT201100984K,Nan
NOT221101002K,Nan
NOT221101024K,Nan
NOT201101126K,Nan
NOT141100303K,Nan
NOT221101004K,Nan
NOT221101052K,Nan
NOT221101003K,Nan
NOT221101091K,Nan
NOT201101263K,Nan
NOT201101214K,Nan
NOT201101233K,Nan
NOT201101188K,Nan
NOT201101313K,Nan
NOT201101215K,Nan
NOT201101426K,Nan
NOT201101262K,Nan
NOT201101169K,Nan
NOT201101261K,Nan
NOT221101087K,Nan
NOT201101335K,Nan
NOT201101338K,Nan
NOT201101359K,Nan
NOT201101320K,Nan
NOT201101234K,Nan
NOT221101092K,Nan
NOT201101375K,Nan
NOT201101283K,Nan
NOT221101106K,Nan
NOT201101355K,Nan
NOT201101282K,Nan
NOT221101066K,Nan
NOT181101057K,Nan
NOT221101099K,Nan
NOT201101418K,Nan
NOT201101257K,Nan
NOT221101105K,Nan
NOT201101421K,Nan
NOT201101309K,Nan
NOT221101090K,Nan
NOT201101168K,Nan
NOT201101284K,Nan
NOT201101310K,Nan
NOT201101349K,Nan
NOT221101104K,Nan
NOT201101354K,Nan
NOT201101357K,Nan
NOT201101281K,Nan
NOT221101064K,Nan
NOT221101102K,Nan
NOT221101101K,Nan
NOT201101323K,Nan
NOT201101321K,Nan
NOT201101280K,Nan
NOT201101422K,Nan
NOT201101317K,Nan
NOT201101316K,Nan
NOT221101096K,Nan
NOT201101427K,Nan
NOT221101086K,Nan
NOT201101425K,Nan
NOT221101078K,Nan
NOT201101356K,Nan
NOT161101450K,Nan
NOT221101085K,Nan
NOT201101247K,Nan
NOT221101100K,Nan
NOT201101266K,Nan
NOT201101204K,Nan
NOT201101312K,Nan
NOT201101339K,Nan
NOT201101417K,Nan
NOT221101080K,Nan
NOT201101399K,Nan
NOT201101330K,Nan
NOT221101070K,Nan
NOT161101523K,Nan
NOT201101182K,Nan
NOT201101348K,Nan
NOT221101079K,Nan
NOT201101216K,Nan
NOT221101075K,Nan
NOT201101186K,Nan
NOT161101522K,Nan
NOT221101076K,Nan
NOT201101253K,Nan
NOT221101082K,Nan
NOT201101191K,Nan
NOT201101315K,Nan
NOT201101198K,Nan
NOT221101081K,Nan
NOT201101221K,Nan
NOT201101254K,Nan
NOT201101255K,Nan
NOT221101067K,Nan
NOT221101065K,Nan
NOT201101358K,Nan
NOT221101103K,Nan
NOT201101256K,Nan
NOT221101073K,Nan
NOT201101332K,Nan
NOT201101326K,Nan
NOT221101084K,Nan
NOT201101199K,Nan
NOT201101205K,Nan
NOT161101517K,Nan
NOT161101521K,Nan
NOT221101069K,Nan
NOT201101333K,Nan
NOT221101088K,Nan
NOT201101194K,Nan
NOT221101083K,Nan
NOT201101225K,Nan
NOT201101404K,Nan
NOT201101334K,Nan
NOT221101089K,Nan
NOT201101360K,Nan
NOT201101258K,Nan
NOT201101259K,Nan
NOT201101361K,Nan
NOT161101525K,Nan
NOT201101260K,Nan
NOT201101362K,Nan
NOT201101373K,Nan
NOT201101236K,Nan
NOT201101252K,Nan
NOT201101374K,Nan
NOT201101235K,Nan
NOT201101350K,Nan
NOT201101228K,Nan
NOT221101074K,Nan
NOT201101195K,Nan
NOT161101520K,Nan
NOT201101328K,Nan
NOT221101077K,Nan
NOT201101174K,Nan
NOT181101049K,Nan
NOT201101351K,Nan
NOT201101227K,Nan
NOT201101400K,Nan
NOT221101131K,Nan
NOT221101270K,Nan
NOT221101265K,Nan
NOT221101219K,Nan
NOT221101253K,Nan
NOT221101329K,Nan
NOT221101308K,Nan
NOT181101237K,Nan
NOT221101221K,Nan
NOT221101202K,Nan
NOT221101223K,Nan
NOT221101315K,Nan
NOT221101129K,Nan
NOT161101814K,Nan
NOT221101323K,Nan
NOT221101210K,Nan
NOT221101208K,Nan
NOT221101316K,Nan
NOT221101377K,Nan
NOT221101212K,Nan
NOT221101206K,Nan
NOT221101214K,Nan
NOT221101215K,Nan
NOT221101216K,Nan
NOT221101217K,Nan
NOT221101123K,Nan
NOT221101286K,Nan
NOT221101204K,Nan
NOT221101314K,Nan
NOT221101281K,Nan
NOT221101318K,Nan
NOT221101128K,Nan
NOT221101319K,Nan
NOT221101389K,Nan
NOT221101130K,Nan
NOT221101338K,Nan
NOT221101170K,Nan
NOT221101331K,Nan
NOT221101344K,Nan
NOT221101250K,Nan
NOT221101254K,Nan
NOT221101284K,Nan
NOT221101340K,Nan
NOT221101337K,Nan
NOT221101351K,Nan
NOT221101271K,Nan
NOT221101303K,Nan
NOT221101294K,Nan
NOT221101332K,Nan
NOT221101336K,Nan
NOT221101122K,Nan
NOT221101385K,Nan
NOT221101305K,Nan
NOT221101264K,Nan
NOT221101320K,Nan
NOT221101373K,Nan
NOT221101304K,Nan
NOT221101342K,Nan
NOT221101343K,Nan
NOT221101241K,Nan
NOT221101330K,Nan
NOT221101249K,Nan
NOT221101280K,Nan
NOT221101302K,Nan
NOT221101199K,Nan
NOT221101313K,Nan
NOT221101201K,Nan
NOT221101171K,Nan
NOT221101225K,Nan
NOT221101227K,Nan
NOT221101229K,Nan
NOT221101285K,Nan
NOT221101248K,Nan
NOT221101125K,Nan
NOT221101231K,Nan
NOT221101266K,Nan
NOT221101232K,Nan
NOT221101233K,Nan
NOT221101234K,Nan
NOT221101200K,Nan
NOT221101317K,Nan
NOT221101387K,Nan
NOT221101293K,Nan
NOT221101124K,Nan
NOT221101235K,Nan
NOT221101334K,Nan
NOT221101237K,Nan
NOT221101239K,Nan
NOT221101368K,Nan
NOT221101256K,Nan
NOT221101382K,Nan
NOT221101289K,Nan
NOT221101119K,Nan
NOT221101118K,Nan
NOT221101251K,Nan
NOT221101148K,Nan
NOT221101146K,Nan
NOT221101144K,Nan
NOT221101143K,Nan
NOT221101142K,Nan
NOT221101384K,Nan
NOT221101141K,Nan
NOT221101353K,Nan
NOT221101140K,Nan
NOT141100948K,Nan
NOT221101139K,Nan
NOT221101364K,Nan
NOT221101137K,Nan
NOT221101135K,Nan
NOT221101133K,Nan
NOT221101132K,Nan
NOT221101395K,Nan
NOT221101355K,Nan
NOT221101150K,Nan
NOT221101152K,Nan
NOT221101154K,Nan
NOT221101113K,Nan
NOT221101161K,Nan
NOT221101169K,Nan
NOT221101158K,Nan
NOT221101292K,Nan
NOT221101157K,Nan
NOT221101156K,Nan
NOT221101366K,Nan
NOT221101283K,Nan
NOT181101228K,Nan
NOT181101266K,Nan
NOT221101372K,Nan
NOT221101297K,Nan
NOT181101268K,Nan
NOT221101282K,Nan
NOT221101258K,Nan
NOT221101257K,Nan
NOT221101296K,Nan
NOT221101111K,Nan
NOT221101322K,Nan
NOT221101159K,Nan
NOT221101390K,Nan
NOT221101352K,Nan
NOT221101155K,Nan
NOT221101117K,Nan
NOT221101357K,Nan
NOT141100965K,Nan
NOT221101309K,Nan
NOT221101379K,Nan
NOT201101430K,Nan
NOT221101310K,Nan
NOT141100961K,Nan
NOT221101263K,Nan
NOT221101392K,Nan
NOT221101391K,Nan
NOT221101262K,Nan
NOT221101370K,Nan
NOT221101288K,Nan
NOT141100840K,Nan
